Keuwl Accelerometer Data File
2019-04-14 17-23-08

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
1.3977965,-0.092399,0.784577,0.128883,0.800443,80.734207,96.716728
1.4027709,-0.084875,0.790289,0.159954,0.810768,78.621620,96.129944
1.4077454,-0.110417,0.881001,0.197017,0.909489,77.489182,97.143700
1.4127197,-0.128942,0.963508,0.276243,1.010586,74.136314,97.622368
1.4176941,-0.168078,0.933771,0.348117,1.010625,69.851372,100.203957
1.4226683,-0.103492,0.952032,0.271275,0.995322,74.183922,96.204071
1.4276428,-0.113064,0.905373,0.159979,0.926325,80.054970,97.118332
1.4326172,-0.115573,0.779542,0.162647,0.804672,78.338562,98.433121
1.4375916,-0.014005,0.720653,0.229140,0.756335,72.364464,91.113342
1.4425658,0.090336,0.775652,0.314224,0.841744,68.080673,83.356972
1.4475402,0.032743,0.824794,0.398293,0.916513,64.241760,87.726616
1.4525146,-0.031574,0.787154,0.423407,0.894362,61.743576,92.296974
1.4574890,-0.050496,0.827145,0.333043,0.893104,68.105125,93.493462
1.4624633,-0.034873,0.894708,0.196835,0.916767,77.601730,92.232071
1.4674376,-0.052045,0.890938,0.141708,0.903637,80.977676,93.343178
1.4724121,-0.103631,0.820014,0.135088,0.837503,80.717751,97.202667
1.4773865,-0.130664,0.817075,0.115685,0.835504,82.041161,99.085632
1.4823608,-0.075445,0.839236,0.101332,0.848692,83.142662,95.136902
1.4873351,-0.026865,0.812579,0.157456,0.828130,79.039345,91.893616
1.4923096,0.025357,0.797504,0.337404,0.866313,67.078369,88.178894
1.4972839,0.028604,0.834769,0.507520,0.977361,58.716286,88.037460
1.5022583,-0.084645,0.820640,0.543572,0.987970,56.619892,95.888962
1.5072325,-0.104514,0.767512,0.461207,0.901505,59.229713,97.754417
1.5122069,-0.008536,0.783272,0.286511,0.834072,69.909241,90.624390
1.5171814,-0.008687,0.815622,0.194062,0.838436,76.617126,90.610229
1.5221558,0.004570,0.797372,0.162317,0.813738,78.493980,89.671631
1.5271301,-0.026271,0.806877,0.160087,0.823024,78.783890,91.864845
1.5321044,-0.073384,0.819216,0.185754,0.843211,77.273705,95.118774
1.5370789,-0.071461,0.788823,0.271751,0.837375,71.063072,95.176422
1.5420532,-0.058052,0.750546,0.382618,0.844444,63.057232,94.422806
1.5470276,-0.098563,0.788240,0.353707,0.869566,65.998390,97.127380
1.5520018,-0.139810,0.791612,0.268836,0.847626,71.508514,100.015961
1.5569762,-0.109496,0.753014,0.264234,0.805506,70.850471,98.273422
1.5619507,-0.058565,0.752826,0.353310,0.833670,64.925194,94.448296
1.5669250,-0.082789,0.841162,0.452312,0.958642,61.847122,95.621101
1.5718993,-0.023471,0.883109,0.411927,0.974739,65.001030,91.522461
1.5768737,-0.046958,0.868314,0.300631,0.920083,70.928780,93.095543
1.5818481,-0.056792,0.902011,0.154408,0.916892,80.304993,93.602669
1.5868225,-0.161686,0.880634,0.105362,0.901532,83.288521,100.403709
1.5917969,-0.141065,0.780776,0.134607,0.804754,80.371170,100.241333
1.5967711,0.001769,0.699559,0.196310,0.726583,74.324913,89.855156
1.6017456,0.051917,0.818789,0.396520,0.911229,64.205254,86.371887
1.6067200,0.022124,0.906442,0.457533,1.015610,63.224155,88.601799
1.6116943,-0.034599,0.842327,0.428848,0.945845,63.037827,92.352135
1.6166686,-0.073538,0.774649,0.345270,0.851293,66.072327,95.422859
1.6216429,-0.039576,0.839048,0.186496,0.860435,77.481995,92.700539
1.6266174,-0.072186,0.858598,0.149939,0.874576,80.128342,94.805801
1.6315918,-0.034874,0.831717,0.141367,0.844366,80.361938,92.401031
1.6365660,0.032705,0.839131,0.141188,0.851554,80.456253,87.768066
1.6415404,-0.035352,0.878578,0.187633,0.899086,77.954201,92.304199
1.6465149,-0.035711,0.878107,0.267611,0.918674,73.064148,92.328842
1.6514893,-0.080071,0.844617,0.393789,0.935339,65.101509,95.415512
1.6564636,-0.043691,0.845959,0.366156,0.922836,66.623398,92.956482
1.6614379,-0.011222,0.853142,0.285573,0.899738,71.494530,90.753639
1.6664124,-0.029262,0.862196,0.218104,0.889836,75.811897,91.943832
1.6713867,-0.040917,0.849025,0.202755,0.873858,76.583786,92.759132
1.6763611,-0.028645,0.824866,0.240628,0.859724,73.746346,91.988892
1.6813353,0.009501,0.821729,0.275363,0.866691,71.475052,89.337593
1.6863097,-0.018797,0.852647,0.252269,0.889382,73.522095,91.262932
1.6912842,-0.018721,0.850684,0.183009,0.870349,77.861771,91.260719
1.6962585,-0.062202,0.802206,0.189858,0.826710,76.723282,94.433746
1.7012328,-0.062421,0.778372,0.235615,0.815644,73.209663,94.584984
1.7062072,-0.004030,0.817778,0.252843,0.855983,72.819458,90.282356
1.7111816,0.016113,0.826617,0.290384,0.876287,70.647461,88.883308
1.7161560,0.019779,0.813284,0.318971,0.873822,68.590591,88.606857
1.7211304,-0.024097,0.847303,0.286420,0.894729,71.329834,91.629013
1.7261046,-0.100106,0.887614,0.228160,0.921920,75.671341,96.434692
1.7310790,-0.100423,0.878572,0.224068,0.912239,75.781288,96.520775
1.7360535,-0.072436,0.866390,0.272076,0.910990,72.622879,94.779228
1.7410278,0.003428,0.895957,0.241571,0.927959,74.910637,89.780769
1.7460021,-0.014918,0.882981,0.210203,0.907780,76.611252,90.967934
1.7509764,-0.070722,0.816902,0.253134,0.858142,72.843704,94.947983
1.7559509,-0.028712,0.816607,0.293848,0.868342,70.220520,92.013680
1.7609253,-0.045781,0.853025,0.291455,0.902604,71.161308,93.072060
1.7658995,-0.028007,0.848404,0.238477,0.881729,74.308022,91.890732
1.7708739,-0.016396,0.813992,0.193328,0.836796,76.642082,91.153923
1.7758484,0.009650,0.814995,0.159044,0.830425,78.958389,89.321625
1.7808228,-0.064204,0.850751,0.177949,0.871531,78.218491,94.315758
1.7857971,-0.043225,0.868738,0.267016,0.909875,72.934494,92.848495
1.7907714,0.009133,0.871877,0.346642,0.938304,68.319237,89.399811
1.7957457,-0.030272,0.860263,0.309183,0.914638,70.242599,92.015350
1.8007202,-0.049289,0.847280,0.223469,0.877639,75.248634,93.329300
1.8056946,-0.130549,0.795983,0.237779,0.840935,73.575264,99.314140
